CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
11S00179,Parking Without Authorization,C2 LOT,15-01-16,Mini
11S00180,Parking Without Authorization,Winter Sports Lot,15-01-16,Ford
11S00181,Expired Time,GSAB Lot,15-01-16,Nissan
11S00182,Expired Time,Acute Care Unit Lot,15-01-16,Mercendes-Benz
11S00183,Expired Time,Fraser River Parkade,15-01-16,General Motors
11S00184,Expired Time,Fraser River Parkade,15-01-16,Hyundai
11S00185,Parking Without Authorization,Fraser River Parkade,15-01-16,Toyota
11S00186,Parking Without Authorization,Music Underground,15-01-16,Toyota
11S00187,Parking Without Authorization,Old Fire Hall Meters,15-01-16,Nissan
11S00188,Expired Time,Fraser River Parkade,15-01-16,Kia
11S00189,Parking in Improper Location,Thunderbird Residence,15-01-18,Toyota
11S00190,Parking Without Authorization,Sauder Lane,15-01-18,Toyota
11S00191,Parking Without Authorization,Old Fire Hall Meters,15-01-18,Lexus
11S00192,Parking Without Authorization,Fraser River Parkade,15-01-18,Toyota
11S00193,Parking Without Authorization,Fraser River Parkade,15-01-18,Volkswagen
11S00194,Parking Without Authorization,Fraser River Parkade,15-01-18,Lexus
11S00195,Parking Without Authorization,Armouries Lot,15-01-18,Lexus
11S00196,Parking Without Authorization,Music Underground,15-01-18,Volkswagen
11S00197,Parking Without Authorization,Music Underground,15-01-18,Toyota
11S00198,Parking Without Authorization,Buchanan Meters,15-01-18,Honda
11S00199,Expired Time,Buchanan Meters,15-01-18,Mercendes-Benz
11S00200,Parking Without Authorization,Law Lot,15-01-18,Toyota
11S00201,Expired Time,Acute Care Unit Lot,15-01-18,Lexus
11S00202,Parking Without Authorization,Strangway Parking Lot,15-01-18,Toyota
11S00203,Parking Without Authorization,C2 LOT,15-01-18,Hyundai
11S00204,Parking in Improper Location,Thunderbird Residence,15-01-18,Mercendes-Benz
11S00205,Parking Without Authorization,B4 LOT,15-01-18,BMW
11S00206,Parking Without Authorization,B4 LOT,15-01-18,Mercendes-Benz
11S00207,Parking Without Authorization,B4 LOT,15-01-18,Toyota
11S00208,Parking Without Authorization,Stadium Lot,15-01-18,Toyota
11S00209,Expired Time,Stadium Lot,15-01-18,Kia
11S00210,Parking Without Authorization,Stadium Lot,15-01-18,BMW
11S00211,Parking Without Authorization,Stadium Lot,15-01-18,Mercendes-Benz
11S00212,Parking Without Authorization,Wright Field Lot,15-01-18,BMW
11S00213,Parking Without Authorization,Wesbrook Mall,15-01-18,BMW
11S00214,Parking Without Authorization,Wesbrook Mall,15-01-18,Dodge
11S00215,Parking Without Authorization,Keremeos Court,15-01-18,Toyota
11S00216,Parking Without Authorization,Armouries Lot,15-01-18,Subaru
11S00217,Expired Time,Acute Care Unit Lot,15-01-18,Acura
11S00218,Parking Without Authorization,Wright Field Lot,15-01-18,Toyota
11S00219,Parking Without Authorization,Wright Field Lot,15-01-18,Acura
11S00220,Parking Without Authorization,Wright Field Lot,15-01-18,Jeep
11S00221,Parking Without Authorization,Wright Field Lot,15-01-18,Ford
11S00222,Parking Without Authorization,Wright Field Lot,15-01-18,BMW
11S00223,Parking Without Authorization,Wright Field Lot,15-01-18,Honda
11S00224,Parking Without Authorization,Wright Field Lot,15-01-18,Honda
11S00225,Parking Without Authorization,Wright Field Lot,15-01-18,Toyota
11S00226,Parking Without Authorization,East Mall Road,15-01-18,Hyundai
11S00227,Parking Without Authorization,Stadium Lot,15-01-18,Toyota
11S00228,Parking Without Authorization,Stadium Lot,15-01-18,Toyota
11S00229,Parking Without Authorization,Stadium Lot,15-01-18,Volvo
11S00230,Parking Without Authorization,Stadium Lot,15-01-18,Honda
11S00231,Parking Without Authorization,Stadium Lot,15-01-18,Honda
11S00232,Parking Without Authorization,C2 LOT,15-01-19,Chevrolet
11S00233,Parking Without Authorization,Fraser River Parkade,15-01-20,Toyota
11S00234,Parking Without Authorization,Fraser River Parkade,15-01-20,Honda
